COOKING METHODS,DESCRIPTION,MERITS,DEMERITS,TYPE OF METHOD
Boiling,"Boiling is a method of cooking foods by just immersing them in water at 1000 C and maintaining the water at that temperature till the food is tender. Rice, egg, dhal, meat, roots and tubers are cooked by boiling.",  Simple method -It does not require special skill and equipment.   Uniform cooking can be achieved.,  Continuous excessive boiling leads to damage in the structure and texture of food.   Loss of heat labile nutrients such as Vitamins B and C if the water is discarded.   Time consuming – Boiling takes more time to cook food and fuel may be wasted.   Loss of colour – water soluble pigments may be lost.,MOIST HEAT METHODS
Stewing,"It refers to the simmering of food in a pan with a tight fitting lid using small quantities of liquid to cover only half the food. This is a slow method of cooking. The liquid is brought to boiling point and the heat is reduced to maintain simmering temperatures (820C -900C). The food above the liquid is cooked by the steam generated within the pan. Apple, meat along with roots, vegetables and legumes are usually stewed.",  Loss of nutrients is avoided as water used for cooking is not discarded.   Flavour is retained.,  The process is time consuming and there is wastage of fuel.,MOIST HEAT METHODS
Steaming,"It is a method of cooking food in steam generated from vigorously boiling water in a pan. The food to be steamed is placed in acontainer and is not in direct contact with the water or liquid. Idli, custard and idiappam are made by steaming. Vegetables can also be steamed.","Less chance of burning and scorching.   Texture of food is better as it becomes light andfluffy. Eg. Idli.   Cooking time is less and fuel wastage is less.   Steamed foods like idli and idiappam contain less fat and are easily digested and are good for children, aged and for therapeutic diets.   Nutrient loss is minimised.",Steaming equipment is required.   This method is limited to the preparation of selected foods.,MOIST HEAT METHODS
Pressure cooking,"When steam under pressure is used the method is known as pressure cooking and the equipment used is the pressure cooker. In this method the temperature of boiling water can be raised above 1000C. Rice, dhal, meat, roots and tubers are usually pressure cooked.",  Cooking time is less compared to other methods.   Nutrient and flavour loss is minimised.   Conserves fuel and time as different items can be cooked at the same time.   Less chance for burning and scorching.   Constant attention is not necessary.,"  The initial investment may not be affordable to everybody.   Knowledge of the usage, care and maintenance of cooker is required to prevent accidents.   Careful watch on the cooking time is required to prevent over cooking.",MOIST HEAT METHODS
Poaching,This involves cooking in the minimum amount of liquid at temperatures of 800C- 850C that is below the boiling point. Egg and fish can be poached.,No special equipment is needed.   Quick method of cooking and therefore saves fuel.   Poached foods are easily digested since no fat is added.,Poached foods may not appeal to everybody as they are bland in taste.   Food can be scorched if water evaporates due to careless monitoring.   Water soluble nutrients may be,MOIST HEAT METHODS
Blanching,"This can be achieved by blanching. In this method, food is dipped in boiling water for 5 seconds to 2 minutes depending on the texture of the food. This helps to remove the skin or peel without softening food. Blanching can also be done by pouring enough boiling water on the food to immerse it for short periods and then immediately immersing in cold water. The process causes the skin to become loose and can be peeled off easily.",  Peels can easily be removed to improve digestibility.   Destroys enzymes that bring about spoilage.   Texture can be maintained while improving the colour and flavour of food.,  Peels can easily be removed to improve digestibility.   Destroys enzymes that bring about spoilage.   Texture can be maintained while improving the colour and flavour of food.,MOIST HEAT METHODS
Roasting,In this method food is cooked in a heated metal or frying pan without covering it. Eg. Groundnut.,"  Quick method of cooking.   It improves the appearance, flavour and texture of the food.   Spices are easily powdered if they are first roasted.",  Food can be scorched due to carelessness.   Roasting denatures proteins reducing their availability.,DRY HEAT METHODS
Grilling,"Grilling or broiling refers to the cooking of food by exposing it to direct heat. In this method food is placed above or in between a red hot surface. Papads, corn, phulkas, chicken can be prepared by this method.","Enhances flavour, appearance and taste of the product.   It requires less time to cook.   Minimum fat is used.",Constant attention is required to prevent charring.,DRY HEAT METHODS
Toasting,This is a method where food is kept between two heated elements to facilitate browning on both sides. Bread slices are cooked by toasting.,  Easy and quick method.   Flavour improved.,  Special equipment required.   Careful monitoring is needed to prevent charring.,DRY HEAT METHODS
Baking,"In this method, the food gets cooked in an oven or oven-like appliance by dry heat. The temperature range maintained in an oven is 1200C – 2600C. The food is usually kept uncovered in a container greased with a fat coated paper. Bread, cake, biscuits, pastries and meat are prepared by this method.","  Baking lends a unique baked flavour to foods.   Foods become light and fluffy – cakes, custards, bread.   Uniform and bulk cooking can be achieved. Eg. bun, bread.   Flavour and texture are improved.   Variety of dishes can be made.","  Special equipment like oven is required.   Baking skills are necessary to obtain a product with ideal texture, flavour and colour characteristics.   Careful monitoring needed to prevent scorching.",DRY HEAT METHODS
